,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
421,"Itera Group NV (Dutch), Itera International Energy LLC (U.S.)",05-Jun-08,"Oil, Gas & Mining","BIT Georgia - Netherlands 1998, BIT United States of America - Georgia 1994",,"November 19, 2010 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Georgia (Georgian),Concluded,Gas distribution enterprise
422,Perenco Ecuador Limited (Bahamian),04-Jun-08,"Oil, Gas & Mining",BIT France - Ecuador 1994 - Contract,"April 27, 2018 - The Respondent files a rejoinder on the Claimant’s application to dismiss the counter-claims.",,Republic of Ecuador (Ecuadoran),Pending,Hydrocarbon concession
423,"Burlington Resources Andean Limited (British), Burlington Resources Ecuador Limited (British), Burlington Resources Oriente Limited (British), Burlington Resources, Inc. (U.S.)",02-Jun-08,"Oil, Gas & Mining",BIT Ecuador - United States of America 1993 - Contract,,"February 7, 2017 - The Tribunal issues a decision on counterclaims.",Republic of Ecuador (Ecuadoran),Concluded,Hydrocarbon concession
424,Murphy Exploration and Production Company International (U.S.),15-Apr-08,"Oil, Gas & Mining",BIT Ecuador - United States of America 1993,,"December 15, 2010 - The Tribunal renders its award; attached to the award is a dissenting opinion by one of the arbitrators.",Republic of Ecuador (Ecuadoran),Concluded,Hydrocarbon concession
425,"Brandes Investment Partners, LP (U.S.)",24-Mar-08,Information & Communication,Investment Law - Venezuela (1999),,"August 2, 2011 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Telecommunication enterprise
426,"Canasco Holdings Inc. (nationality not available), Quadrant Pacific Growth Fund L.P. (Canadian)",21-Mar-08,Tourism,BIT Costa Rica - Canada 1998,,"October 27, 2010 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",Republic of Costa Rica (Costa Rican),Concluded,Agricultural enterprises
427,"ATA Construction, Industrial and Trading Company (Turkish)",28-Feb-08,Transportation,BIT Turkey - Jordan 1993,,"May 18, 2010 - The Tribunal renders its award.",Hashemite Kingdom of Jordan (Jordanian),Concluded,Waterway construction project
428,Marion Unglaube (German),25-Jan-08,Tourism,BIT Germany - Costa Rica 1994,,"May 16, 2012 - The Tribunal renders its award.",Republic of Costa Rica (Costa Rican),Concluded,Tourism project
429,"Mobil Investments Canada Inc. (U.S.), Murphy Oil Corporation (U.S.)",19-Dec-07,"Oil, Gas & Mining",NAFTA (North American Free Trade Agreement),,"February 20, 2015 - The tribunal renders its award.",Canada (Canadian),Concluded,Petroleum development projects
430,Astaldi S.p.A. (Italian),19-Dec-07,Transportation,Contract,,"September 17, 2010 - The Tribunal renders its award.",Republic of Honduras (Honduran),Concluded,Highway rehabilitation contract
431,HOCHTIEF Aktiengesellschaft (German),18-Dec-07,Transportation,BIT Germany - Argentina 1991,"June 19, 2018 - HOCHTIEF Aktiengesellschaft files a reply on annulment.","December 21, 2016 - The Tribunal renders its award.",Argentine Republic (Argentine),Concluded,Highway system construction contract
432,"ConocoPhillips Gulf of Paria B.V. (Dutch), ConocoPhillips Hamaca B.V. (Dutch), ConocoPhillips Petrozuata B.V. (Dutch)",13-Dec-07,"Oil, Gas & Mining","BIT Netherlands - Venezuela, Republica Bolivariana de 1991 - Investment Law - Venezuela (1999)","May 3, 2018 - Each party files observations on the other party’s statement of costs.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Oil and gas enterprise
433,SGS Société Générale de Surveillance S.A. (Swiss),19-Nov-07,Services & Trade,BIT Switzerland - Paraguay 1992,,"February 10, 2012 - The Tribunal renders its award.",Republic of Paraguay (Paraguayan),Concluded,Service agreement
434,E.T.I. Euro Telecom International N.V. (Dutch),31-Oct-07,Information & Communication,BIT Bolivia - Netherlands 1992,,"October 21, 2009 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Plurinational State of Bolivia (Bolivian),Concluded,Telecommunications enterprise
435,"Mobil Cerro Negro Holding, Ltd. (U.S.), Mobil Cerro Negro, Ltd. (Bahamian), Mobil Corporation (U.S.), Mobil Venezolana de Petróleos Holdings, Inc. (U.S.), Mobil Venezolana de Petróleos, Inc. (Bahamian), Venezuela Holdings, B.V. (Dutch)",10-Oct-07,,"BIT Netherlands - Venezuela, Republica Bolivariana de 1991 - Investment Law - Venezuela (1999)",,"October 9, 2014 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Oil and gas enterprise
436,"Consorcio de Aguas Bilbao Bizkaia, Bilbao Biskaia Ur Partzuergoa (Spanish), Urbaser S.A. (Spanish)",01-Oct-07,"Water, Sanitation & Flood Protection",BIT Spain - Argentina 1991,,"December 8, 2016 - The Tribunal renders its award.",Argentine Republic (Argentine),Concluded,Water services concession
437,"Trans-Global Petroleum, Inc. (U.S.)",24-Sep-07,"Oil, Gas & Mining",BIT Jordan - United States of America 1997,,"April 8, 2009 - The Tribunal renders its award embodying the parties�_settlement agreement, pursuant to ICSID Arbitration Rule 43(2).",Hashemite Kingdom of Jordan (Jordanian),Concluded,Oil exploration concession
438,Gustav F W Hamester GmbH & Co KG (German),24-Sep-07,Other Industry,BIT Ghana - Germany 1995,,"June 18, 2010 - The Tribunal renders its award.",Republic of Ghana (Ghanaian),Concluded,Cocoa production enterprise
439,Parkerings-Compagniet AS (Norwegian),16-May-05,Transportation,BIT Lithuania - Norway 1992,,"September 11, 2007 - The Tribunal renders its award.",Republic of Lithuania (Lithuanian),Concluded,Public parking concession
440,"Newmont (Uzbekistan) Limited (Cypriot), Newmont USA Limited (U.S.)",12-Dec-06,"Oil, Gas & Mining",Investment Law - Uzbekistan (1998),,"July 25, 2007 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Uzbekistan (Uzbek),Concluded,Gold extraction enterprise
441,"Shell Brands International AG (Swiss), Shell Nicaragua S.A. (Nicaraguan)",11-Aug-06,Other Industry,BIT Netherlands - Nicaragua 2000,,"Settlement agreed by the parties and proceeding discontinued at the request of the Claimants (Order taking note of the discontinuance issued by the Secretary-General pursuant to ICSID Arbitration Rule 44 on March 12, 2007).",Republic of Nicaragua (Nicaraguan),Concluded,Trademarks
442,"EEIF Rail BV (Dutch), Rail World Estonia LLC (U.S.), Railroad Development Corporation (U.S.)",05-Apr-06,Transportation,"BIT Netherlands - Estonia 1992, BIT United States of America - Estonia 1994",,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on February 5, 2007 pursuant to Arbitration Rule 43(1)).",Republic of Estonia (Estonian),Concluded,Railroad enterprise
443,"Malaysian Historical Salvors, SDN, BHD (Malaysian)",14-Jun-05,"Water, Sanitation & Flood Protection",BIT Malaysia - United Kingdom of Great Britain and Northern Ireland 1981,,"May 17, 2007 - The Sole Arbitrator renders the award.",Malaysia (Malaysian),Concluded,Salvage contract
444,"Arthur E. Beckwith (U.S.), Bayview Irrigation District #11 (U.S.), Bownsville Irrigation District (U.S.), Cameron County Irrigation District #2 (U.S.), Cameron County Irrigation District #6 (U.S.), Capote Farms, Ltd. (formerly Capote Farms, Inc.) (U.S.), Delta Lake Irrigation District (U.S.), Donna Irrigation District Hidalgo County #1 (U.S.), Electric Gin Company of San Benito (U.S.), Engelman Irrigation District (U.S.), Estate of E.F. Davis Jr. (U.S.), Fike Farms (U.S.), Fuller Farms (U.S.), Hidalgo & Cameron County Irrigation District #9 (U.S.), Hidalgo County Irrigation District #1 (U.S.), Hidalgo County Irrigation District #2 (U.S.), Luther Bradford (U.S.), Odus D. Emery Jr. (U.S.), Richard Drawe (U.S.), Willard Fike (U.S.)",01-Jul-05,"Water, Sanitation & Flood Protection",NAFTA (North American Free Trade Agreement),,"Award rendered on June 19, 2007.",United Mexican States (Mexican),Concluded,Agricultural enterprises
445,Togo Electricit_ (nationality not available),20-May-05,,,,"Report of the Commission issued on April 6, 2006.",Republic of Togo (Togolese),Concluded,Electricity concession
446,"Motorola Credit Corporation, Inc. (U.S.)",28-Dec-04,Information & Communication,BIT Turkey - United States of America 1985,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on November 21, 2005 pursuant to Arbitration Rule 43(1)).",Republic of Turkey (Turkish),Concluded,Cellular telecommunications network
447,RGA Reinsurance Company (U.S.),11-Nov-04,Finance,BIT United States of America - Argentina 1991,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on September 14, 2006 pursuant to Arbitration Rule 43(1)).",Argentine Republic (Argentine),Concluded,Financial reinsurance services
448,France Telecom S.A. (French),26-Aug-04,Information & Communication,BIT France - Argentina 1991,,"Settlement agreed by the parties and proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Acting Secretary-General pursuant to ICSID Arbitration Rule 44 on March 29, 2006).",Argentine Republic (Argentine),Concluded,Telecommunications concession
449,Interbrew Central European Holding B.V. (Dutch),25-Aug-04,Other Industry,BIT Slovenia - Netherlands 1996,,"Settlement agreed by the parties and proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Tribunal pursuant to ICSID Arbitration Rule 44 on July 18, 2005).",Republic of Slovenia (Slovenian),Concluded,Brewery
450,Telenor Mobile Communications AS (Norwegian),02-Aug-04,Information & Communication,BIT Hungary - Norway 1991,,"Award rendered on September 13, 2006.",Republic of Hungary (Hungarian),Concluded,Telecommunications concession
451,"Alstom Power Italia SpA (Italian), Alstom SpA (Italian)",18-Mar-04,Electric Power & Other Energy,BIT Italy - Mongolia 1993 - ECT (Energy Charter Treaty),,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on March 13, 2006 pursuant to Arbitration Rule 43(1)).",Republic of Mongolia (Mongolian),Concluded,Thermal energy station project
452,Sociedad Anónima Eduardo Vieira (Spanish),27-Feb-04,"Agriculture, Fishing & Forestry",BIT Chile - Spain 1991,,"August 21, 2007 - The Tribunal renders its award, to which a dissenting opinion is attached.",Republic of Chile (Chilean),Concluded,Fisheries company
453,Cemex Asia Holdings Ltd. (Singaporean),27-Jan-04,Construction,"Contract, ASEAN Treaty 1987 (Association of Southeast Asian Nations Agreement for the Promotion and Protection of Investment)",,"Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on February 23, 2007, pursuant to Arbitration Rule 43(2)).",Republic of Indonesia (Indonesian),Concluded,Cement production enterprise
454,Western NIS Enterprise Fund (U.S.),26-Jan-04,"Agriculture, Fishing & Forestry",BIT Ukraine - United States of America 1994,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on June 1, 2006 pursuant to Arbitration Rule 43(1)).",Ukraine (Ukrainian),Concluded,Sunflower oil joint venture
455,"Cargill, Incorporated (U.S.)",07-Jul-04,Other Industry,BIT United States of America - Poland 1990,,"Settlement on jurisdiction agreed by the parties on March 10, 2005 and proceeding discontinued at their request (Order taking note of the discontinuance of the proceeding pursuant to Arbitration Rule 49(1) of the Additional Facility Rules issued by the Tribunal on April 4, 2005.) At the request of the parties, and with the Tribunal's consent, the proceeding continues with the same Tribunal under the UNCITRAL Arbitration Rules.",Republic of Poland (Polish),Concluded,Isoglucose production
456,Inceysa Vallisoletana S.L. (Spanish),10-Oct-03,Transportation,BIT El Salvador - Spain 1995,,"Award rendered on August 2, 2006.",Republic of El Salvador (Salvadoran),Concluded,Motor vehicle inspection facility
457,Fraport AG Frankfurt Airport Services Worldwide (German),09-Oct-03,Transportation,BIT Germany - Philippines 1997,,"August 16, 2007 - The Tribunal renders its award, to which a dissenting opinion is attached.",Republic of the Philippines (Philippine),Concluded,Construction of an airport terminal
458,"Aguas Cordobesas S.A. (Argentine), Sociedad General de Aguas de Barcelona S.A. (Spanish), Suez (French)",17-Jul-03,"Water, Sanitation & Flood Protection","BIT France - Argentina 1991, BIT Spain - Argentina 1991",,"Settlement agreed by the parties and proceeding discontinued at the request of the Claimants (Order taking note of the discontinuance issued by the Tribunal pursuant to ICSID Arbitration Rule 44 on January 24, 2007).",Argentine Republic (Argentine),Concluded,Water services concession
459,"ADC Affiliate Limited (Cypriot), ADC Affiliate Limited and ADC & ADMC Management Limited (Cypriot)",17-Jul-03,Other Industry,BIT Cyprus - Hungary 1989,,"Award rendered on October 2, 2006",Republic of Hungary (Hungarian),Concluded,Airport project
460,"Pioneer Natural Resources (Argentina) S.A. (Argentine), Pioneer Natural Resources (Tierra del Fuego) S.A. (Argentine), Pioneer Natural Resources Company (U.S.)",05-Jun-03,Electric Power & Other Energy,BIT United States of America - Argentina 1991,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on June 23, 2005 pursuant to Arbitration Rule 43(1)).",Argentine Republic (Argentine),Concluded,Hydrocarbon and electricity concessions
461,Joy Mining Machinery Limited (British),02-Jun-03,"Oil, Gas & Mining","BIT Egypt, Arab Republic of - United Kingdom of Great Britain and Northern Ireland 1975",,"Award rendered on August 6, 2004.",Arab Republic of Egypt (Egyptian),Concluded,Phosphate mining project
462,Consortium Groupement L.E.S.I. - DIPENTA (Italian),20-May-03,"Water, Sanitation & Flood Protection",BIT Algeria - Italy 1991,,"Award rendered on January 10, 2005.",People's Democratic Republic of Algeria (Algerian),Concluded,Construction of a dam
463,Camuzzi International S.A. (Luxembourg),23-Apr-03,Electric Power & Other Energy,"BIT Argentina - Belgium-Luxembourg 1990, BIT United States of America - Argentina 1991",,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on January 25, 2007 pursuant to Arbitration Rule 43(1)).",Argentine Republic (Argentine),Concluded,Electricity distribution and transportation enterprise
